Dia,PrevD1,PrevD2,PrevD3,PrevD4
2021-12-30,29.425,4.978,6.564,0.032
2021-12-31,24.222,7.314,13.306,0.709
2022-01-01,13.822,8.737,8.192,0.688
2022-01-02,1.824,1.732,4.771,0.742
2022-01-03,11.993,14.839,5.952,2.893
2022-01-04,11.412,4.739,15.261,0.141
2022-01-05,15.491,26.143,0.697,0.059
2022-01-06,25.193,0.843,1.050,0.109
2022-01-07,8.716,0.268,0.072,0.010
2022-01-08,0.661,0.277,0.005,1.264
2022-01-09,0.919,0.145,23.629,0.466
2022-01-10,1.468,4.842,8.099,1.936
2022-01-11,3.439,6.209,4.167,0.000
2022-01-12,7.087,9.037,2.412,0.003
2022-01-13,3.782,1.329,3.323,0.178
2022-01-14,2.300,2.246,17.096,0.241
2022-01-15,0.000,0.000,0.000,0.000
2022-01-16,0.000,0.000,0.000,0.000
2022-01-17,0.000,0.000,0.000,0.000
2022-01-18,0.000,0.000,0.000,0.000
2022-01-19,0.000,0.000,0.000,0.000
2022-01-20,0.000,0.000,0.000,0.000
2022-01-21,0.000,0.000,0.000,0.000
2022-01-22,0.000,0.000,0.000,0.000
2022-01-23,0.000,0.000,0.000,0.000
2022-01-24,0.000,0.000,0.000,0.000
2022-01-25,0.000,0.000,0.000,0.000
2022-01-26,0.000,0.000,0.000,0.000
2022-01-27,0.000,0.000,0.000,0.000
2022-01-28,0.000,0.000,0.000,0.000
2022-01-29,0.000,0.000,0.000,0.000
2022-01-30,0.000,0.000,0.000,0.000
2022-01-31,61.366,12.450,0.408,0.033
2022-02-01,7.784,1.097,1.342,0.033
2022-02-02,5.516,0.434,0.605,0.011
2022-02-03,2.757,4.291,9.652,1.306
2022-02-04,1.842,9.700,5.054,2.616
2022-02-05,10.309,17.289,36.536,0.299
2022-02-06,26.773,14.136,0.035,0.001
2022-02-07,16.134,0.192,0.023,0.031
2022-02-08,2.288,0.055,0.383,0.691
2022-02-09,0.101,0.043,0.259,0.013
2022-02-10,0.171,0.451,0.387,0.034
2022-02-11,6.948,0.687,0.030,0.011
2022-02-12,0.497,0.418,0.205,0.000
2022-02-13,1.538,0.803,6.728,0.003
2022-02-14,0.958,8.068,4.514,0.002
2022-02-15,1.909,0.976,0.495,0.000
2022-02-16,0.170,1.654,1.975,0.001
2022-02-17,23.179,4.054,0.411,0.024
