Dia;PrevD1;PrevD2;PrevD3;PrevD4;PrevD5;PrevD6;PrevD7
2021-10-05;0.00;0.00;0.00;0.00;0.08;4.03;2.51
2021-10-06;0.00;0.00;0.00;0.08;4.03;2.51;0.68
2021-10-07;0.00;0.00;0.08;4.03;2.51;0.68;0.00
2021-10-08;0.00;0.08;4.03;2.51;0.68;0.00;2.13
2021-10-09;0.08;4.03;2.51;0.68;0.00;2.13;9.82
2021-10-10;4.03;2.51;0.68;0.00;2.13;9.82;5.94
2021-10-11;2.51;0.68;0.00;2.13;9.82;5.94;0.00
2021-10-12;0.68;0.00;2.13;9.82;5.94;0.00;9.42
2021-10-13;0.00;2.13;9.82;5.94;0.00;9.42;0.75
2021-10-14;2.13;9.82;5.94;0.00;9.42;0.75;0.00
2021-10-15;9.82;5.94;0.00;9.42;0.75;0.00;0.00
2021-10-16;5.94;0.00;9.42;0.75;0.00;0.00;0.00
2021-10-17;0.00;9.42;0.75;0.00;0.00;0.00;0.00
2021-10-18;9.42;0.75;0.00;0.00;0.00;0.00;14.80
2021-10-19;0.75;0.00;0.00;0.00;0.00;14.80;0.00
2021-10-20;0.00;0.00;0.00;0.00;14.80;0.00;5.15
2021-10-21;0.00;0.00;0.00;14.80;0.00;5.15;2.60
2021-10-22;0.00;0.00;14.80;0.00;5.15;2.60;4.10
2021-10-23;0.00;14.80;0.00;5.15;2.60;4.10;0.00
2021-10-24;14.80;0.00;5.15;2.60;4.10;0.00;0.54
2021-10-25;0.00;5.15;2.60;4.10;0.00;0.54;0.14
2021-10-26;5.15;2.60;4.10;0.00;0.54;0.14;7.47
2021-10-27;2.60;4.10;0.00;0.54;0.14;7.47;0.00
2021-10-28;4.10;0.00;0.54;0.14;7.47;0.00;0.00
2021-10-29;0.00;0.54;0.14;7.47;0.00;0.00;0.00
2021-10-30;0.54;0.14;7.47;0.00;0.00;0.00;0.00
2021-10-31;0.14;7.47;0.00;0.00;0.00;0.00;0.00
2021-11-01;7.47;0.00;0.00;0.00;0.00;0.00;0.00
2021-11-02;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-11-03;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-11-04;0.00;0.00;0.00;0.00;0.00;0.00;0.25
2021-11-05;0.00;0.00;0.00;0.00;0.00;0.25;0.83
2021-11-06;0.00;0.00;0.00;0.00;0.25;0.83;0.00
2021-11-07;0.00;0.00;0.00;0.25;0.83;0.00;0.00
2021-11-08;0.00;0.00;0.25;0.83;0.00;0.00;0.00
2021-11-09;0.00;0.25;0.83;0.00;0.00;0.00;0.00
2021-11-10;0.25;0.83;0.00;0.00;0.00;0.00;0.00
2021-11-11;0.83;0.00;0.00;0.00;0.00;0.00;0.00
2021-11-12;0.00;0.00;0.00;0.00;0.00;0.00;8.92
2021-11-13;0.00;0.00;0.00;0.00;0.00;8.92;18.63
2021-11-14;0.00;0.00;0.00;0.00;8.92;18.63;0.00
2021-11-15;0.00;0.00;0.00;8.92;18.63;0.00;0.00
2021-11-16;0.00;0.00;8.92;18.63;0.00;0.00;0.00
2021-11-17;0.00;8.92;18.63;0.00;0.00;0.00;0.00
2021-11-18;8.92;18.63;0.00;0.00;0.00;0.00;0.00
2021-11-19;18.63;0.00;0.00;0.00;0.00;0.00;0.00
2021-11-20;0.00;0.00;0.00;0.00;0.00;0.00;6.27
2021-11-21;0.00;0.00;0.00;0.00;0.00;6.27;0.00
2021-11-22;0.00;0.00;0.00;0.00;6.27;0.00;0.00
2021-11-23;0.00;0.00;0.00;6.27;0.00;0.00;2.02
2021-11-24;0.00;0.00;6.27;0.00;0.00;2.02;12.30
2021-11-25;0.00;6.27;0.00;0.00;2.02;12.30;0.00
2021-11-26;6.27;0.00;0.00;2.02;12.30;0.00;0.01
2021-11-27;0.00;0.00;2.02;12.30;0.00;0.01;0.00
2021-11-28;0.00;2.02;12.30;0.00;0.01;0.00;0.00
2021-11-29;2.02;12.30;0.00;0.01;0.00;0.00;1.95
2021-11-30;12.30;0.00;0.01;0.00;0.00;1.95;0.06
2021-12-01;0.00;0.01;0.00;0.00;1.95;0.06;0.00
2021-12-02;0.01;0.00;0.00;1.95;0.06;0.00;0.00
2021-12-03;0.00;0.00;1.95;0.06;0.00;0.00;0.00
2021-12-04;0.00;1.95;0.06;0.00;0.00;0.00;0.00
2021-12-05;1.95;0.06;0.00;0.00;0.00;0.00;0.00
2021-12-06;0.06;0.00;0.00;0.00;0.00;0.00;0.43
2021-12-07;0.00;0.00;0.00;0.00;0.00;0.43;2.58
2021-12-08;0.00;0.00;0.00;0.00;0.43;2.58;7.65
2021-12-09;0.00;0.00;0.00;0.43;2.58;7.65;4.77
2021-12-10;0.00;0.00;0.43;2.58;7.65;4.77;20.50
2021-12-11;0.00;0.43;2.58;7.65;4.77;20.50;25.16
2021-12-12;0.43;2.58;7.65;4.77;20.50;25.16;0.00
2021-12-13;2.58;7.65;4.77;20.50;25.16;0.00;0.00
2021-12-14;7.65;4.77;20.50;25.16;0.00;0.00;0.00
2021-12-15;4.77;20.50;25.16;0.00;0.00;0.00;0.00
2021-12-16;20.50;25.16;0.00;0.00;0.00;0.00;2.19
2021-12-17;25.16;0.00;0.00;0.00;0.00;2.19;0.26
2021-12-18;0.00;0.00;0.00;0.00;2.19;0.26;0.00
2021-12-19;0.00;0.00;0.00;2.19;0.26;0.00;0.00
2021-12-20;0.00;0.00;2.19;0.26;0.00;0.00;0.00
2021-12-21;0.00;2.19;0.26;0.00;0.00;0.00;13.28
2021-12-22;2.19;0.26;0.00;0.00;0.00;13.28;8.10
2021-12-23;0.26;0.00;0.00;0.00;13.28;8.10;3.79
2021-12-24;0.00;0.00;0.00;13.28;8.10;3.79;4.22
2021-12-25;0.00;0.00;13.28;8.10;3.79;4.22;14.94
2021-12-26;0.00;13.28;8.10;3.79;4.22;14.94;21.00
2021-12-27;13.28;8.10;3.79;4.22;14.94;21.00;4.19
2021-12-28;8.10;3.79;4.22;14.94;21.00;4.19;1.43
2021-12-29;3.79;4.22;14.94;21.00;4.19;1.43;13.64
2021-12-30;4.22;14.94;21.00;4.19;1.43;13.64;8.23
2021-12-31;14.94;21.00;4.19;1.43;13.64;8.23;5.96
2022-01-01;21.00;4.19;1.43;13.64;8.23;5.96;0.00
2022-01-02;4.19;1.43;13.64;8.23;5.96;0.00;0.00
2022-01-03;1.43;13.64;8.23;5.96;0.00;0.00;2.61
2022-01-04;13.64;8.23;5.96;0.00;0.00;2.61;0.00
2022-01-05;8.23;5.96;0.00;0.00;2.61;0.00;5.83
2022-01-06;5.96;0.00;0.00;2.61;0.00;5.83;1.36
2022-01-07;0.00;0.00;2.61;0.00;5.83;1.36;0.88
2022-01-08;0.00;2.61;0.00;5.83;1.36;0.88;2.94
2022-01-09;2.61;0.00;5.83;1.36;0.88;2.94;0.42
2022-01-10;0.00;5.83;1.36;0.88;2.94;0.42;3.16
2022-01-11;5.83;1.36;0.88;2.94;0.42;3.16;0.18
2022-01-12;1.36;0.88;2.94;0.42;3.16;0.18;5.98
2022-01-13;0.88;2.94;0.42;3.16;0.18;5.98;1.42
2022-01-14;2.94;0.42;3.16;0.18;5.98;1.42;1.16
2022-01-15;0.42;3.16;0.18;5.98;1.42;1.16;0.00
2022-01-16;3.16;0.18;5.98;1.42;1.16;0.00;0.00
2022-01-17;0.18;5.98;1.42;1.16;0.00;0.00;0.00
2022-01-18;5.98;1.42;1.16;0.00;0.00;0.00;0.00
2022-01-19;1.42;1.16;0.00;0.00;0.00;0.00;6.17
2022-01-20;1.16;0.00;0.00;0.00;0.00;6.17;3.90
2022-01-21;0.00;0.00;0.00;0.00;6.17;3.90;3.81
2022-01-22;0.00;0.00;0.00;6.17;3.90;3.81;9.66
2022-01-23;0.00;0.00;6.17;3.90;3.81;9.66;20.05
2022-01-24;0.00;6.17;3.90;3.81;9.66;20.05;31.54
2022-01-25;6.17;3.90;3.81;9.66;20.05;31.54;11.68
2022-01-26;3.90;3.81;9.66;20.05;31.54;11.68;3.98
2022-01-27;3.81;9.66;20.05;31.54;11.68;3.98;4.12
2022-01-28;9.66;20.05;31.54;11.68;3.98;4.12;1.12
